订单ID,商品名称
ORD000000,沐浴露
ORD000000,牙刷
ORD000000,手机壳
ORD000000,洗发水
ORD000001,键盘
ORD000001,面包
ORD000001,电脑包
ORD000002,电脑包
ORD000003,笔记本电脑
ORD000004,黄油
ORD000004,T恤
ORD000004,洗发水
ORD000004,键盘
ORD000005,牛奶
ORD000005,牛仔裤
ORD000005,牙刷
ORD000005,笔记本电脑
ORD000005,T恤
ORD000006,护发素
ORD000006,运动鞋
ORD000006,鼠标
ORD000006,T恤
ORD000007,牙刷
ORD000007,鼠标
ORD000007,电脑包
ORD000007,散热器
ORD000008,键盘
ORD000008,沐浴露
ORD000009,黄油
ORD000009,耳机
ORD000010,护发素
ORD000010,袜子
ORD000011,散热器
ORD000011,充电器
ORD000012,电脑包
ORD000012,手机壳
ORD000012,帽子
ORD000013,手机壳
ORD000013,T恤
ORD000014,耳机
ORD000014,手机壳
ORD000014,充电器
ORD000014,洗发水
ORD000015,耳机
ORD000015,手机
ORD000015,牛仔裤
ORD000015,洗发水
ORD000015,袜子
ORD000016,鸡蛋
ORD000016,手机
ORD000017,沐浴露
ORD000018,手机壳
ORD000018,面包
ORD000019,钢化膜
ORD000019,鸡蛋
ORD000019,黄油
ORD000020,电脑包
ORD000020,运动鞋
ORD000020,鸡蛋
ORD000020,袜子
ORD000020,笔记本电脑
ORD000021,鸡蛋
ORD000022,黄油
ORD000022,键盘
ORD000022,奶酪
ORD000023,充电器
ORD000024,鸡蛋
ORD000024,T恤
ORD000024,沐浴露
ORD000025,T恤
ORD000025,袜子
ORD000025,面包
ORD000025,键盘
ORD000026,帽子
ORD000027,耳机
ORD000028,面包
ORD000028,牛仔裤
ORD000028,笔记本电脑
ORD000028,洗发水
ORD000029,袜子
ORD000029,面包
ORD000029,洗发水
ORD000030,牙膏
ORD000030,电脑包
ORD000030,牛奶
ORD000031,笔记本电脑
ORD000031,鸡蛋
ORD000031,洗发水
ORD000031,黄油
ORD000031,牛奶
ORD000032,鼠标
ORD000033,钢化膜
ORD000033,手机
ORD000033,键盘
