订单ID,用户ID,订单金额,下单时间,支付状态,收货地址
ORD000001,U0203,12.69,2024-01-01 00:00:00.000000000,未支付,深圳市南山区
ORD000002,U0208,43.35,2024-01-01 01:45:08.461692338,已支付,上海市浦东新区
ORD000003,U0605,205.42,2024-01-01 03:30:16.923384676,已支付,北京市朝阳区
ORD000004,U0749,74.14,2024-01-01 05:15:25.385077015,已支付,杭州市西湖区
ORD000005,U0786,49.44,2024-01-01 07:00:33.846769353,已支付,上海市浦东新区
ORD000006,U0971,32.34,2024-01-01 08:45:42.308461692,已支付,北京市朝阳区
ORD000007,U0267,23.08,2024-01-01 10:30:50.770154030,已支付,北京市朝阳区
ORD000008,U0713,192.33,2024-01-01 12:15:59.231846369,已支付,杭州市西湖区
ORD000009,U0506,60.44,2024-01-01 14:01:07.693538707,未支付,北京市朝阳区
ORD000010,U0985,32.79,2024-01-01 15:46:16.155231046,已支付,上海市浦东新区
ORD000011,U0250,40.3,2024-01-01 17:31:24.616923384,已支付,广州市天河区
ORD000012,U0439,22.5,2024-01-01 19:16:33.078615723,已支付,广州市天河区
ORD000013,U0608,61.09,2024-01-01 21:01:41.540308061,已支付,北京市朝阳区
ORD000014,U0738,60.76,2024-01-01 22:46:50.002000400,已支付,深圳市南山区
ORD000015,U0387,100.67,2024-01-02 00:31:58.463692738,已支付,上海市浦东新区
ORD000016,U0462,11.95,2024-01-02 02:17:06.925385077,已支付,广州市天河区
ORD000017,U0496,62.41,2024-01-02 04:02:15.387077415,已支付,深圳市南山区
ORD000018,U0616,95.82,2024-01-02 05:47:23.848769753,未支付,广州市天河区
ORD000019,U0985,46.48,2024-01-02 07:32:32.310462092,已取消,深圳市南山区
ORD000020,U0656,210.11,2024-01-02 09:17:40.772154430,已支付,北京市朝阳区
ORD000021,U0996,104.54,2024-01-02 11:02:49.233846769,已支付,深圳市南山区
ORD000022,U0137,161.85,2024-01-02 12:47:57.695539107,已支付,北京市朝阳区
ORD000023,U0580,18.71,2024-01-02 14:33:06.157231446,已支付,深圳市南山区
ORD000024,U0173,8.83,2024-01-02 16:18:14.618923784,已支付,深圳市南山区
ORD000025,U0002,72.54,2024-01-02 18:03:23.080616123,已支付,深圳市南山区
ORD000026,U0119,7.18,2024-01-02 19:48:31.542308461,已支付,上海市浦东新区
ORD000027,U0857,30.09,2024-01-02 21:33:40.004000800,已支付,广州市天河区
ORD000028,U0498,53.06,2024-01-02 23:18:48.465693138,已支付,深圳市南山区
ORD000029,U0120,115.39,2024-01-03 01:03:56.927385477,已支付,北京市朝阳区
ORD000030,U0790,59.86,2024-01-03 02:49:05.389077815,已支付,深圳市南山区
ORD000031,U0377,233.55,2024-01-03 04:34:13.850770154,已支付,上海市浦东新区
ORD000032,U0965,27.22,2024-01-03 06:19:22.312462492,已支付,上海市浦东新区
ORD000033,U0945,21.98,2024-01-03 08:04:30.774154830,已支付,上海市浦东新区
ORD000034,U0149,525.75,2024-01-03 09:49:39.235847169,已支付,深圳市南山区
ORD000035,U0842,46.88,2024-01-03 11:34:47.697539507,已取消,深圳市南山区
ORD000036,U0855,62.2,2024-01-03 13:19:56.159231846,未支付,深圳市南山区
ORD000037,U0219,31.08,2024-01-03 15:05:04.620924184,已支付,广州市天河区
ORD000038,U0990,22.59,2024-01-03 16:50:13.082616523,未支付,深圳市南山区
ORD000039,U0183,46.67,2024-01-03 18:35:21.544308861,已支付,杭州市西湖区
ORD000040,U0516,156.0,2024-01-03 20:20:30.006001200,已支付,上海市浦东新区
ORD000041,U0570,43.74,2024-01-03 22:05:38.467693538,已支付,深圳市南山区
ORD000042,U0198,4.52,2024-01-03 23:50:46.929385877,已支付,广州市天河区
ORD000043,U0374,18.13,2024-01-04 01:35:55.391078215,已支付,北京市朝阳区
ORD000044,U0443,360.03,2024-01-04 03:21:03.852770554,已支付,上海市浦东新区
ORD000045,U0026,4.33,2024-01-04 05:06:12.314462892,已支付,深圳市南山区
