日期,销量
2023-01-01,736
2023-01-02,600
2023-01-03,513
2023-01-04,794
2023-01-05,793
2023-01-06,222
2023-01-07,505
2023-01-08,599
2023-01-09,551
2023-01-10,410
2023-01-11,793
2023-01-12,295
2023-01-13,757
2023-01-14,632
2023-01-15,559
2023-01-16,248
2023-01-17,786
2023-01-18,420
2023-01-19,205
2023-01-20,254
2023-01-21,214
2023-01-22,722
2023-01-23,582
2023-01-24,366
2023-01-25,575
2023-01-26,273
2023-01-27,384
2023-01-28,287
2023-01-29,555
2023-01-30,264
2023-01-31,472
2023-02-01,390
2023-02-02,237
2023-02-03,573
2023-02-04,579
2023-02-05,236
2023-02-06,451
2023-02-07,334
2023-02-08,210
2023-02-09,401
2023-02-10,533
2023-02-11,618
2023-02-12,437
2023-02-13,619
2023-02-14,653
2023-02-15,507
2023-02-16,780
2023-02-17,369
2023-02-18,782
2023-02-19,348
2023-02-20,700
2023-02-21,793
2023-02-22,712
2023-02-23,651
2023-02-24,721
2023-02-25,639
2023-02-26,346
2023-02-27,497
2023-02-28,569
2023-03-01,432
2023-03-02,323
2023-03-03,610
2023-03-04,447
2023-03-05,661
2023-03-06,581
2023-03-07,297
2023-03-08,305
2023-03-09,649
2023-03-10,312
2023-03-11,769
2023-03-12,679
2023-03-13,668
2023-03-14,565
2023-03-15,538
2023-03-16,375
2023-03-17,495
2023-03-18,293
2023-03-19,554
2023-03-20,267
2023-03-21,348
2023-03-22,204
2023-03-23,445
2023-03-24,643
2023-03-25,383
2023-03-26,486
2023-03-27,411
2023-03-28,736
2023-03-29,416
2023-03-30,684
2023-03-31,534
2023-04-01,371
2023-04-02,718
2023-04-03,506
2023-04-04,352
2023-04-05,686
2023-04-06,610
2023-04-07,620
2023-04-08,510
2023-04-09,686
2023-04-10,699
2023-04-11,767
2023-04-12,291
2023-04-13,692
2023-04-14,271
2023-04-15,276
2023-04-16,245
2023-04-17,714
2023-04-18,533
2023-04-19,414
2023-04-20,276
2023-04-21,688
2023-04-22,430
2023-04-23,249
2023-04-24,306
2023-04-25,631
2023-04-26,697
2023-04-27,206
2023-04-28,491
2023-04-29,541
2023-04-30,479
2023-05-01,735
2023-05-02,511
2023-05-03,690
2023-05-04,276
2023-05-05,323
2023-05-06,483
2023-05-07,681
2023-05-08,423
2023-05-09,277
2023-05-10,756
2023-05-11,268
2023-05-12,298
2023-05-13,267
2023-05-14,277
2023-05-15,345
2023-05-16,274
